workforce-1a: DRIFT — candidatesPreRerank (ids/provenance); alsoSearched (validated terms) [noise: documents (reranker order); trace validated (narrowing draw)]
workforce-1b: DRIFT — candidatesPreRerank (ids/provenance); alsoSearched (validated terms) [noise: documents (reranker order); trace validated (narrowing draw)]
workforce-1c: DRIFT — candidatesPreRerank (ids/provenance); alsoSearched (validated terms) [noise: documents (reranker order); trace validated (narrowing draw)]
workforce-1d: DRIFT — candidatesPreRerank (ids/provenance); alsoSearched (validated terms) [noise: documents (reranker order); trace validated (narrowing draw)]
workforce-2a: DRIFT — candidatesPreRerank (ids/provenance); alsoSearched (validated terms) [noise: documents (reranker order); trace validated (narrowing draw)]
FW1: DRIFT — candidatesPreRerank (ids/provenance); alsoSearched (validated terms) [noise: documents (reranker order); trace validated (narrowing draw)]
FW2: DRIFT — candidatesPreRerank (ids/provenance); alsoSearched (validated terms) [noise: documents (reranker order); trace validated (narrowing draw)]
FW3: DRIFT — candidatesPreRerank (ids/provenance); alsoSearched (validated terms) [noise: documents (reranker order); trace validated (narrowing draw)]
FW4: DRIFT — candidatesPreRerank (ids/provenance); alsoSearched (validated terms) [noise: documents (reranker order); trace validated (narrowing draw)]
IM1: DRIFT — candidatesPreRerank (ids/provenance); alsoSearched (validated terms) [noise: documents (reranker order); trace validated (narrowing draw)]
IM2: DRIFT — candidatesPreRerank (ids/provenance); alsoSearched (validated terms) [noise: documents (reranker order); trace validated (narrowing draw)]
IM3: DRIFT — candidatesPreRerank (ids/provenance); alsoSearched (validated terms) [noise: documents (reranker order); trace validated (narrowing draw)]
IM4: DRIFT — candidatesPreRerank (ids/provenance); alsoSearched (validated terms) [noise: documents (reranker order); trace validated (narrowing draw)]
RL1: DRIFT — candidatesPreRerank (ids/provenance); alsoSearched (validated terms) [noise: documents (reranker order); trace validated (narrowing draw)]
RL2: DRIFT — candidatesPreRerank (ids/provenance); alsoSearched (validated terms) [noise: documents (reranker order); trace validated (narrowing draw)]
RL3: DRIFT — candidatesPreRerank (ids/provenance); alsoSearched (validated terms) [noise: documents (reranker order); trace validated (narrowing draw)]
RL4: DRIFT — candidatesPreRerank (ids/provenance); alsoSearched (validated terms) [noise: documents (reranker order); trace validated (narrowing draw)]
H2: DRIFT — candidatesPreRerank (ids/provenance); alsoSearched (validated terms) [noise: documents (reranker order); trace validated (narrowing draw)]
H3: DRIFT — candidatesPreRerank (ids/provenance); alsoSearched (validated terms) [noise: documents (reranker order); trace validated (narrowing draw)]

0/19 identical (A 2026-08-27T15:37:08.447Z vs B 2026-08-27T21:31:37.799Z)
